"Project","Warnings","Errors","Status"
"Examples","2421","2","error"
"Outlook.Grid 2022","284","0","warn"
"Software.Updater 2022","78","0","warn"
"AutoUpdateCreator","42","0","warn"
"Error.Reporting 2022","1","0","warn"
"Resources 2022","0","0","clean"
"PDF 2022","0","0","clean"
"Settings 2022","0","0","clean"
"Shared 2022","0","0","clean"
"Ribbon 2022","0","0","clean"
"Scintilla.NET 2022","0","0","clean"
"Navigator 2022","0","0","clean"
"Navi.Suite 2022","0","0","clean"
"Messagebox 2022","0","0","clean"
"Networking 2022","0","0","clean"
"Panels 2022","0","0","clean"
"Palette.Selectors 2022","0","0","clean"
"Notifications 2022","0","0","clean"
"Tools 2022","0","0","clean"
"Tool.Strip.Items 2022","0","0","clean"
"Tool.Box 2022","0","0","clean"
"TreeGridView 2022","0","0","clean"
"Wizard 2022","0","0","clean"
"VirtualTreeColumnView 2022","0","0","clean"
"Utilities 2022","0","0","clean"
"Toggle.Switch 2022","0","0","clean"
"Specialised.Dialogs 2022","0","0","clean"
"ZipExtractor","0","0","clean"
"Software.Updater.Core 2022","0","0","clean"
"TaskDialogs 2022","0","0","clean"
"ToastNotification 2022","0","2","error"
"Themes 2022","0","0","clean"
"Theme.Switcher 2022","0","0","clean"
"Memory.Box 2022","0","0","clean"
"Core 2022","0","0","clean"
"Controls 2022","0","0","clean"
"Compression 2022","0","0","clean"
"Data.Visualisation 2022","0","0","clean"
"Debug.Tools 2022","0","0","clean"
"DataGridView 2022","0","0","clean"
"DataGridView.Grouper 2022","0","0","clean"
"Common 2022","0","0","clean"
"Buttons 2022","0","0","clean"
"AdvancedDataGridView 2022","0","0","clean"
"Krypton.Toolkit 2022","0","0","clean"
"Calendar 2022","0","0","clean"
"ComboBox 2022","0","0","clean"
"Circular.ProgressBar 2022","0","0","clean"
"CheckSum.Tools 2022","0","0","clean"
"Gages 2022","0","0","clean"
"Forms 2022","0","0","clean"
"Floating.Toolbars 2022","0","0","clean"
"Global.Utilities 2022","0","0","clean"
"Language.Model 2022","0","0","clean"
"IO 2022","0","0","clean"
"InputBox 2022","0","0","clean"
"File.Explorer 2022","0","0","clean"
"Dock.Extender 2022","0","0","clean"
"Dialogs 2022","0","0","clean"
"Developer.Utilities 2022","0","0","clean"
"Drawing.Utilities 2022","0","0","clean"
"File.Copier 2022","0","0","clean"
"Effects 2022","0","0","clean"
"Drawing 2022","0","0","clean"
